run_id,architecture_hash,gpu_type,params,depth,flops,epochs,batch_size,target,peak_flops_gflops,memory_bandwidth_gbs,tdp_watts,arithmetic_intensity_ratio
quadrortx6000_5529e1779433733d1145e20de5d8604e_repeat1,5529e1779433733d1145e20de5d8604e,Quadro RTX 6000,3468426,4,6936852,4,256,72990.0,16300,672.0,260,4.2557374233128834e-07
quadrortx6000_3af5d23d803ef448b8539054d8c14213_repeat1,3af5d23d803ef448b8539054d8c14213,Quadro RTX 6000,1756298,4,3512596,4,256,65336.4,16300,672.0,260,2.1549668711656443e-07
quadrortx6000_d0a5ff67e269a1ac4f305c618a88ac85_repeat1,d0a5ff67e269a1ac4f305c618a88ac85,Quadro RTX 6000,11215242,4,22430484,4,256,99082.8,16300,672.0,260,1.3761033128834357e-06
quadrortx6000_97d0e4e2c6056628b5ccdaf94c0c77c6_repeat1,97d0e4e2c6056628b5ccdaf94c0c77c6,Quadro RTX 6000,3667594,4,7335188,4,256,106956.0,16300,672.0,260,4.500115337423313e-07
quadrortx6000_702ddef6b5b7f659ef1ed38652d91115_repeat1,702ddef6b5b7f659ef1ed38652d91115,Quadro RTX 6000,2793866,4,5587732,4,256,76194.0,16300,672.0,260,3.4280564417177914e-07
quadrortx6000_70cec3d45475d0428b47a6143a0c9370_repeat1,70cec3d45475d0428b47a6143a0c9370,Quadro RTX 6000,11051402,4,22102804,4,256,101908.8,16300,672.0,260,1.356000245398773e-06
quadrortx6000_232b900e952d86a83b0ff85c0a22cca0_repeat1,232b900e952d86a83b0ff85c0a22cca0,Quadro RTX 6000,12088970,4,24177940,4,256,115837.2,16300,672.0,260,1.4833092024539878e-06
quadrortx6000_b5fb4f6193360330b6ff6a52cbf0cad7_repeat1,b5fb4f6193360330b6ff6a52cbf0cad7,Quadro RTX 6000,20346506,4,40693012,4,256,153777.59999999998,16300,672.0,260,2.4965038036809815e-06
quadrortx6000_96794a104891b22bf4f2abbdd7c3e90f_repeat1,96794a104891b22bf4f2abbdd7c3e90f,Quadro RTX 6000,11215242,4,22430484,4,256,94428.0,16300,672.0,260,1.3761033128834357e-06
quadrortx6000_52e567b5b32ee5cbf4a2da75ee75f63f_repeat1,52e567b5b32ee5cbf4a2da75ee75f63f,Quadro RTX 6000,11925130,4,23850260,4,256,120920.4,16300,672.0,260,1.463206134969325e-06
quadrortx6000_a83c59315fe1e948e38ba49e6e54b790_repeat1,a83c59315fe1e948e38ba49e6e54b790,Quadro RTX 6000,3905290,4,7810580,4,256,80334.0,16300,672.0,260,4.791766871165644e-07
quadrortx6000_e773a7a186b03b0957d57fed0f4d014a_repeat1,e773a7a186b03b0957d57fed0f4d014a,Quadro RTX 6000,445706,4,891412,4,256,24332.4,16300,672.0,260,5.46878527607362e-08
quadrortx6000_e7f31293566724324d3ccc875f097f01_repeat1,e7f31293566724324d3ccc875f097f01,Quadro RTX 6000,2770826,4,5541652,4,256,44222.4,16300,672.0,260,3.3997865030674846e-07
quadrortx6000_243037e12607b17d7f6704fcee4054af_repeat1,243037e12607b17d7f6704fcee4054af,Quadro RTX 6000,1319434,4,2638868,4,256,51228.0,16300,672.0,260,1.6189374233128835e-07
quadrortx6000_81653de2d99676fa3d377640124a73ab_repeat1,81653de2d99676fa3d377640124a73ab,Quadro RTX 6000,1580170,4,3160340,4,256,60310.8,16300,672.0,260,1.9388588957055214e-07
quadrortx6000_81f5a40841c2dfc0dcad2cf76c88e80e_repeat1,81f5a40841c2dfc0dcad2cf76c88e80e,Quadro RTX 6000,706442,4,1412884,4,256,34567.2,16300,672.0,260,8.668e-08
quadrortx6000_5732fc789e02a84809d88f93fcc70f8e_repeat1,5732fc789e02a84809d88f93fcc70f8e,Quadro RTX 6000,5095946,4,10191892,4,256,58741.2,16300,672.0,260,6.252694478527608e-07
quadrortx6000_ea9270f536a1f1094f446246dad4fe89_repeat1,ea9270f536a1f1094f446246dad4fe89,Quadro RTX 6000,21220234,4,42440468,4,256,168364.8,16300,672.0,260,2.6037096932515337e-06
quadrortx6000_76e95ff773019375ce55737d623dea78_repeat1,76e95ff773019375ce55737d623dea78,Quadro RTX 6000,2793866,4,5587732,4,256,78721.2,16300,672.0,260,3.4280564417177914e-07
quadrortx6000_168e95938db8e7c52112e58c0f292079_repeat1,168e95938db8e7c52112e58c0f292079,Quadro RTX 6000,1404042,4,2808084,4,256,65505.6,16300,672.0,260,1.7227509202453988e-07
quadrortx6000_d723fafcc2ca745c82f157d07850d40a_repeat1,d723fafcc2ca745c82f157d07850d40a,Quadro RTX 6000,11051402,4,22102804,4,256,96274.8,16300,672.0,260,1.356000245398773e-06
quadrortx6000_5cdd2affca58e6cedfae506e021f21ca_repeat1,5cdd2affca58e6cedfae506e021f21ca,Quadro RTX 6000,2017034,4,4034068,4,256,77310.0,16300,672.0,260,2.474888343558282e-07
quadrortx6000_2f46c9d2f1cff176f34a2295c49822bc_repeat1,2f46c9d2f1cff176f34a2295c49822bc,Quadro RTX 6000,3031562,4,6063124,4,256,56296.8,16300,672.0,260,3.7197079754601226e-07
quadrortx6000_d32d0b26d534203b48d866facd98cc3e_repeat1,d32d0b26d534203b48d866facd98cc3e,Quadro RTX 6000,11051402,3,22102804,4,256,95972.4,16300,672.0,260,1.356000245398773e-06
quadrortx6000_6adf09ef60d9568b0c5ce41d788a41bc_repeat1,6adf09ef60d9568b0c5ce41d788a41bc,Quadro RTX 6000,1920138,4,3840276,4,256,57002.4,16300,672.0,260,2.35599754601227e-07
quadrortx6000_3c325aea3e66b614c829c5169d038b80_repeat1,3c325aea3e66b614c829c5169d038b80,Quadro RTX 6000,1840906,4,3681812,4,256,68655.6,16300,672.0,260,2.2587803680981594e-07
quadrortx6000_31d1039b23e8e5454fcc96406b9c94e5_repeat1,31d1039b23e8e5454fcc96406b9c94e5,Quadro RTX 6000,1143306,4,2286612,4,256,49939.2,16300,672.0,260,1.4028294478527606e-07
