run_id,architecture_hash,params,depth,epochs,batch_size,target,family,source_dataset,n_edges,n_conv3x3,n_conv1x1,n_maxpool,duration,target_corrected,power,group_key
5V9E_001a6fcc8b38cbc515be788a86bdc804_repeat_1,001a6fcc8b38cbc515be788a86bdc804,1756298,4,4,256,70722.0,CNN,EC-NAS,4,0,0,2,189.4775266647339,88402.5,373.2474306841529,001a6fcc8b38cbc515be788a86bdc804
5V9E_001ea832563f8d635ef7d0af25926274_repeat_1,001ea832563f8d635ef7d0af25926274,6843402,5,4,256,120535.2,CNN,EC-NAS,9,2,0,1,319.31787943840027,150669.0,377.47714037181714,001ea832563f8d635ef7d0af25926274
5V9E_00455f0d3f10d9a5daa098a173c3d6b8_repeat_1,00455f0d3f10d9a5daa098a173c3d6b8,5039754,5,4,256,141224.4,CNN,EC-NAS,8,1,2,0,331.32855701446533,176530.5,426.2367278949467,00455f0d3f10d9a5daa098a173c3d6b8
5V9E_005d730dc32caf954ab507d61e15cd6f_repeat_1,005d730dc32caf954ab507d61e15cd6f,11215242,5,4,256,127998.00000000001,CNN,EC-NAS,5,1,1,1,272.4105005264282,159997.50000000003,469.8717551366275,005d730dc32caf954ab507d61e15cd6f
5V9E_006a8c8225a795824292a06f371586e7_repeat_1,006a8c8225a795824292a06f371586e7,2606755,5,4,256,113392.79999999999,CNN,EC-NAS,9,1,1,1,264.5768413543701,141741.0,428.58172854261056,006a8c8225a795824292a06f371586e7
5V9E_007ad06305fb03005ee8db9bd3760d40_repeat_1,007ad06305fb03005ee8db9bd3760d40,706442,5,4,256,58035.6,CNN,EC-NAS,5,0,1,2,155.26428508758545,72544.5,373.78589652644064,007ad06305fb03005ee8db9bd3760d40
5V9E_0084fcbf55ebee6c2a3c22d71ff418bc_repeat_1,0084fcbf55ebee6c2a3c22d71ff418bc,4081418,5,4,256,100130.4,CNN,EC-NAS,6,1,0,2,249.42207765579224,125163.0,401.4496268376935,0084fcbf55ebee6c2a3c22d71ff418bc
5V9E_0086506b05f8c35f8f1b5f2d5e0d4da6_repeat_1,0086506b05f8c35f8f1b5f2d5e0d4da6,3729162,5,4,256,96476.4,CNN,EC-NAS,6,1,2,0,248.58471775054932,120595.5,388.102699445959,0086506b05f8c35f8f1b5f2d5e0d4da6
5V9E_008e7cf63961863468a8cde033ada944_repeat_1,008e7cf63961863468a8cde033ada944,5532810,5,4,256,73440.0,CNN,EC-NAS,7,2,0,1,173.15148735046387,91800.0,424.1372749594418,008e7cf63961863468a8cde033ada944
5V9E_00a48ca7ae3fc62a28990d736c7b0620_repeat_1,00a48ca7ae3fc62a28990d736c7b0620,12088970,5,4,256,109177.2,CNN,EC-NAS,5,1,1,1,247.32893323898315,136471.5,441.4251036877551,00a48ca7ae3fc62a28990d736c7b0620
5V9E_00a667b8ab8b56ce5552ec18c9c00965_repeat_1,00a667b8ab8b56ce5552ec18c9c00965,1865770,5,4,256,74131.2,CNN,EC-NAS,7,1,2,0,174.46150732040405,92664.0,424.91436156088986,00a667b8ab8b56ce5552ec18c9c00965
5V9E_00b363b7eb6f3f87e800db04dfe670ee_repeat_1,00b363b7eb6f3f87e800db04dfe670ee,2277770,5,4,256,88448.40000000001,CNN,EC-NAS,7,0,2,1,193.7836663722992,110560.50000000001,456.42856106392384,00b363b7eb6f3f87e800db04dfe670ee
5V9E_00be0557e1b25e1170904b3ee4ffac28_repeat_1,00be0557e1b25e1170904b3ee4ffac28,3468426,5,4,256,74646.0,CNN,EC-NAS,6,1,1,1,162.10608100891113,93307.5,460.476248240784,00be0557e1b25e1170904b3ee4ffac28
5V9E_00c88878aecc60f6540654e2671e26c6_repeat_1,00c88878aecc60f6540654e2671e26c6,21220234,5,4,256,172893.6,CNN,EC-NAS,6,2,0,1,336.5714361667633,216117.0,513.690650546873,00c88878aecc60f6540654e2671e26c6
5V9E_00d00c2452af420327353fa171bd834e_repeat_1,00d00c2452af420327353fa171bd834e,1615769,5,4,256,58730.399999999994,CNN,EC-NAS,7,1,0,2,124.39404082298279,73413.0,472.1319414615325,00d00c2452af420327353fa171bd834e
5V9E_00dceff31749898e964d5290108357e7_repeat_1,00dceff31749898e964d5290108357e7,1408799,5,4,256,70455.6,CNN,EC-NAS,7,0,2,1,156.97923827171326,88069.5,448.82113568451234,00dceff31749898e964d5290108357e7
5V9E_00e1876a649a9251aa92036ee7f8df1e_repeat_1,00e1876a649a9251aa92036ee7f8df1e,2316845,5,4,256,70693.20000000001,CNN,EC-NAS,7,1,1,1,162.06826448440552,88366.50000000001,436.193971872897,00e1876a649a9251aa92036ee7f8df1e
5V9E_0103211065f9072f4c663baf39df06df_repeat_1,0103211065f9072f4c663baf39df06df,3644554,5,4,256,65156.4,CNN,EC-NAS,6,1,0,2,148.0170910358429,81445.5,440.19511222675044,0103211065f9072f4c663baf39df06df
5V9E_012cd65cf70a67e4a760a308ce890236_repeat_1,012cd65cf70a67e4a760a308ce890236,4518282,5,4,256,105292.8,CNN,EC-NAS,8,1,0,2,224.188725233078,131616.0,469.66144211994714,012cd65cf70a67e4a760a308ce890236
5V9E_01591f1394738441dc191908d905deda_repeat_1,01591f1394738441dc191908d905deda,4602890,5,4,256,105742.8,CNN,EC-NAS,7,1,2,0,234.00840163230896,132178.5,451.8760833474295,01591f1394738441dc191908d905deda
5V9E_0178f60e80a3201b1cdc7a02d2de3402_repeat_1,0178f60e80a3201b1cdc7a02d2de3402,7104138,5,4,256,129384.0,CNN,EC-NAS,8,2,1,0,287.0363464355469,161730.0,450.7582457995534,0178f60e80a3201b1cdc7a02d2de3402
5V9E_0183ba86b4e87495574984b989096fa8_repeat_1,0183ba86b4e87495574984b989096fa8,1174802,5,4,256,57301.200000000004,CNN,EC-NAS,8,0,0,3,115.98112487792969,71626.5,494.0562532076629,0183ba86b4e87495574984b989096fa8
5V9E_018daff9c94cd3e3ff035e3b27ccaa4d_repeat_1,018daff9c94cd3e3ff035e3b27ccaa4d,533262,5,4,256,43642.8,CNN,EC-NAS,6,0,2,1,103.22762417793274,54553.5,422.7821801340038,018daff9c94cd3e3ff035e3b27ccaa4d
5V9E_018fa6aa43108ba80b8aa3770272308f_repeat_1,018fa6aa43108ba80b8aa3770272308f,2453898,5,4,256,95079.6,CNN,EC-NAS,8,0,1,2,202.88911962509155,118849.5,468.62838271314274,018fa6aa43108ba80b8aa3770272308f
5V9E_01ad9f55669820b94cc9708e200fe19e_repeat_1,01ad9f55669820b94cc9708e200fe19e,21220234,5,4,256,158097.59999999998,CNN,EC-NAS,6,2,0,1,335.06635069847107,197621.99999999997,471.83968091822294,01ad9f55669820b94cc9708e200fe19e
5V9E_01b1828b5dca8f8444035094ec798c70_repeat_1,01b1828b5dca8f8444035094ec798c70,11215242,5,4,256,93495.6,CNN,EC-NAS,4,1,1,1,193.04526567459106,116869.5,484.31956967855365,01b1828b5dca8f8444035094ec798c70
5V9E_01b97c485827b0434b74b8c27fd9f1e6_repeat_1,01b97c485827b0434b74b8c27fd9f1e6,4342154,5,4,256,100922.4,CNN,EC-NAS,7,1,1,1,211.94657182693481,126153.0,476.16906058008,01b97c485827b0434b74b8c27fd9f1e6
5V9E_01c8bb2810e1803f200957721e1c1b4a_repeat_1,01c8bb2810e1803f200957721e1c1b4a,2433584,5,4,256,89863.20000000001,CNN,EC-NAS,7,1,2,0,191.0077564716339,112329.00000000001,470.4688524695874,01c8bb2810e1803f200957721e1c1b4a
5V9E_01f0f1cf81ef9193f2946db78ea759ee_repeat_1,01f0f1cf81ef9193f2946db78ea759ee,5969674,4,4,256,89769.6,CNN,EC-NAS,5,2,0,0,187.09124064445496,112212.0,479.8172254926496,01f0f1cf81ef9193f2946db78ea759ee
5V9E_0229f3bd3be6217f458573d0b737b761_repeat_1,0229f3bd3be6217f458573d0b737b761,1756298,5,4,256,60965.99999999999,CNN,EC-NAS,5,0,0,3,128.75364804267883,76207.49999999999,473.5089135477636,0229f3bd3be6217f458573d0b737b761
5V9E_022c66c9b7d9dc1f784afda8f2d821d9_repeat_1,022c66c9b7d9dc1f784afda8f2d821d9,1840906,5,4,256,78130.8,CNN,EC-NAS,7,0,2,1,181.8192262649536,97663.5,429.7169315094596,022c66c9b7d9dc1f784afda8f2d821d9
5V9E_022cdd278353b9b787fe5de8356f10df_repeat_1,022cdd278353b9b787fe5de8356f10df,2975370,5,4,256,114894.0,CNN,EC-NAS,8,0,3,0,255.3024125099182,143617.5,450.03099998334915,022cdd278353b9b787fe5de8356f10df
5V9E_024a799d57feeecb84d665769aa3f34d_repeat_1,024a799d57feeecb84d665769aa3f34d,5578890,5,4,256,129009.6,CNN,EC-NAS,7,0,2,1,295.86875343322754,161262.0,436.0365821094225,024a799d57feeecb84d665769aa3f34d
5V9E_0259eaa493fe9e7d5be088da14fce00e_repeat_1,0259eaa493fe9e7d5be088da14fce00e,6406538,5,4,256,93189.59999999999,CNN,EC-NAS,8,2,0,1,223.20189476013184,116486.99999999999,417.5125847392468,0259eaa493fe9e7d5be088da14fce00e
5V9E_0268e3cebecd1b8d503cb729abbc41dc_repeat_1,0268e3cebecd1b8d503cb729abbc41dc,4081418,5,4,256,89067.59999999999,CNN,EC-NAS,7,1,0,2,187.91652297973633,111334.49999999999,473.9742870274609,0268e3cebecd1b8d503cb729abbc41dc
5V9E_0291ed0ba0f70add225e7861e8602cc2_repeat_1,0291ed0ba0f70add225e7861e8602cc2,1750321,5,4,256,69001.2,CNN,EC-NAS,7,1,1,1,146.3348572254181,86251.5,471.5294859222005,0291ed0ba0f70add225e7861e8602cc2
5V9E_02d0baa29e661d2283d7b81c66a35920_repeat_1,02d0baa29e661d2283d7b81c66a35920,2538506,5,4,256,102088.8,CNN,EC-NAS,8,0,3,0,222.196635723114,127611.0,459.45250101453365,02d0baa29e661d2283d7b81c66a35920
5V9E_02e10b7bfb8fd15994c6a6d0faafc74d_repeat_1,02e10b7bfb8fd15994c6a6d0faafc74d,4602890,5,4,256,108147.6,CNN,EC-NAS,7,1,2,0,236.82329630851746,135184.5,456.6594658792038,02e10b7bfb8fd15994c6a6d0faafc74d
5V9E_02eb39adf4d82bd1fd539aa1c83e388e_repeat_1,02eb39adf4d82bd1fd539aa1c83e388e,3905290,5,4,256,89920.8,CNN,EC-NAS,7,1,1,1,194.78310871124268,112401.0,461.64577922053604,02eb39adf4d82bd1fd539aa1c83e388e
5V9E_03090b09accf97b6d1b0144bd330fc00_repeat_1,03090b09accf97b6d1b0144bd330fc00,2616460,5,4,256,94932.0,CNN,EC-NAS,9,1,1,1,201.52190256118774,118665.0,471.07534612112926,03090b09accf97b6d1b0144bd330fc00
5V9E_0310b38ea648e9194a920a5d689e3b2b_repeat_1,0310b38ea648e9194a920a5d689e3b2b,2193162,5,4,256,73303.20000000001,CNN,EC-NAS,8,0,0,3,176.14923119544983,91629.00000000001,416.14260534958004,0310b38ea648e9194a920a5d689e3b2b
5V9E_0328e2720e43bd70098047dc8deb8a65_repeat_1,0328e2720e43bd70098047dc8deb8a65,2913959,5,4,256,93398.4,CNN,EC-NAS,9,1,1,1,225.96185898780823,116748.0,413.3370136817617,0328e2720e43bd70098047dc8deb8a65
5V9E_034f775bd540853f0991232dc49d6837_repeat_1,034f775bd540853f0991232dc49d6837,4342154,5,4,256,93286.79999999999,CNN,EC-NAS,6,1,1,1,209.5717532634735,116608.49999999999,445.13059869628455,034f775bd540853f0991232dc49d6837
5V9E_03582b6029c3edd221597d3160915180_repeat_1,03582b6029c3edd221597d3160915180,2793866,5,4,256,85507.2,CNN,EC-NAS,6,0,1,2,171.62363171577454,106884.0,498.2250937423831,03582b6029c3edd221597d3160915180
5V9E_035fafd24973204e35ccb92ad464a20c_repeat_1,035fafd24973204e35ccb92ad464a20c,5095946,5,4,256,65278.8,CNN,EC-NAS,5,2,0,1,139.63097548484802,81598.5,467.5094460475476,035fafd24973204e35ccb92ad464a20c
5V9E_0366938ca06384c65835033bb5dd7ac2_repeat_1,0366938ca06384c65835033bb5dd7ac2,1116567,5,4,256,68230.8,CNN,EC-NAS,6,0,2,1,161.63463735580444,85288.5,422.12981769374306,0366938ca06384c65835033bb5dd7ac2
5V9E_0393691bd227ec5ac8b5692b96834e17_repeat_1,0393691bd227ec5ac8b5692b96834e17,967178,5,4,256,45381.6,CNN,EC-NAS,5,0,2,1,109.2804594039917,56727.0,415.27643869277455,0393691bd227ec5ac8b5692b96834e17
5V9E_03d181ec6b48974b70ce0329a06c6c6b_repeat_1,03d181ec6b48974b70ce0329a06c6c6b,2366781,5,4,256,58536.0,CNN,EC-NAS,6,2,0,1,125.51539468765259,73170.0,466.36510322632483,03d181ec6b48974b70ce0329a06c6c6b
5V9E_03d84046b0ce567b2b59e85903aa2f5f_repeat_1,03d84046b0ce567b2b59e85903aa2f5f,6406538,4,4,256,96012.0,CNN,EC-NAS,5,2,0,0,213.4137463569641,120015.0,449.88667149587735,03d84046b0ce567b2b59e85903aa2f5f
5V9E_03dbd4446e0791a79016b49af39fc9d3_repeat_1,03dbd4446e0791a79016b49af39fc9d3,7857930,5,4,256,95378.4,CNN,EC-NAS,6,3,0,0,214.1055805683136,119223.0,445.47367586978,03dbd4446e0791a79016b49af39fc9d3
5V9E_040531ea6c3975ddead38156828e8232_repeat_1,040531ea6c3975ddead38156828e8232,2040231,5,4,256,78188.4,CNN,EC-NAS,8,1,1,1,180.07877612113953,97735.5,434.1899788757029,040531ea6c3975ddead38156828e8232
5V9E_041508be534661271f4a305cba85bd06_repeat_1,041508be534661271f4a305cba85bd06,11051402,5,4,256,109335.59999999999,CNN,EC-NAS,6,1,0,2,213.2336072921753,136669.5,512.7503182469122,041508be534661271f4a305cba85bd06
5V9E_041d26e56463763cb30e1f6e0e28217a_repeat_1,041d26e56463763cb30e1f6e0e28217a,3468426,5,4,256,74692.8,CNN,EC-NAS,6,1,1,1,159.14744019508362,93366.0,469.3308287487455,041d26e56463763cb30e1f6e0e28217a
5V9E_043721b9c7fe8c5fad811d47d83132ec_repeat_1,043721b9c7fe8c5fad811d47d83132ec,882570,2,4,256,23090.4,CNN,EC-NAS,1,0,0,0,57.0689160823822,28863.0,404.6055468561503,043721b9c7fe8c5fad811d47d83132ec
5V9E_04399ceed700c3bccfac5f1267976836_repeat_1,04399ceed700c3bccfac5f1267976836,12088970,5,4,256,131425.19999999998,CNN,EC-NAS,6,1,1,1,255.705228805542,164281.49999999997,513.9714999725167,04399ceed700c3bccfac5f1267976836
