HOSTNAMES, CPUS, MEMORY, TMP_DISK, GRES
r9i0n25, 36, 180224, 900000, (null)
r1i6n0, 36, 85248, 900000, (null)
r102u25, 36, 751616, 1500000, (null)
r104u25, 36, 751616, 1500000, gpu:v100:2
r1i6n9, 36, 85248, 900000, (null)
r1i6n18, 36, 85248, 900000, (null)
r1i6n27, 36, 85248, 900000, (null)
r4i6n22, 36, 85248, 900000, (null)
r102u26, 36, 751616, 1500000, (null)
r9i2n9, 36, 180224, 900000, (null)
r4i3n9, 36, 85248, 900000, (null)
r102u06, 36, 751616, 1500000, (null)
r1i1n7, 36, 85248, 900000, (null)
r3i5n25, 36, 85248, 900000, (null)
r4i2n9, 36, 85248, 900000, (null)
r4i3n23, 36, 85248, 900000, (null)
r4i6n2, 36, 85248, 900000, (null)
r4i6n11, 36, 85248, 900000, (null)
r4i6n20, 36, 85248, 900000, (null)
r4i6n29, 36, 85248, 900000, (null)
r6i1n2, 36, 85248, 900000, (null)
r6i1n34, 36, 85248, 900000, (null)
r6i3n25, 36, 85248, 900000, (null)
r7i4n2, 36, 180224, 900000, (null)
r7i4n3, 36, 180224, 900000, (null)
r104u17, 36, 751616, 1500000, gpu:v100:2
r1i0n0, 36, 85248, 900000, (null)
r1i0n1, 36, 85248, 900000, (null)
r1i0n2, 36, 85248, 900000, (null)
r1i0n3, 36, 85248, 900000, (null)
r1i0n4, 36, 85248, 900000, (null)
r1i0n5, 36, 85248, 900000, (null)
r1i0n6, 36, 85248, 900000, (null)
r1i0n7, 36, 85248, 900000, (null)
r1i0n8, 36, 85248, 900000, (null)
r1i0n9, 36, 85248, 900000, (null)
r1i0n10, 36, 85248, 900000, (null)
r1i0n11, 36, 85248, 900000, (null)
r1i0n12, 36, 85248, 900000, (null)
r1i0n13, 36, 85248, 900000, (null)
r1i0n14, 36, 85248, 900000, (null)
r1i0n15, 36, 85248, 900000, (null)
r1i0n16, 36, 85248, 900000, (null)
r1i0n17, 36, 85248, 900000, (null)
r1i0n18, 36, 85248, 900000, (null)
r1i0n19, 36, 85248, 900000, (null)
r1i0n20, 36, 85248, 900000, (null)
r1i0n21, 36, 85248, 900000, (null)
r1i0n22, 36, 85248, 900000, (null)
r1i0n23, 36, 85248, 900000, (null)
r1i0n24, 36, 85248, 900000, (null)
r1i0n25, 36, 85248, 900000, (null)
r1i0n26, 36, 85248, 900000, (null)
r1i0n27, 36, 85248, 900000, (null)
r1i0n28, 36, 85248, 900000, (null)
r1i0n29, 36, 85248, 900000, (null)
r1i0n30, 36, 85248, 900000, (null)
r1i0n31, 36, 85248, 900000, (null)
r1i0n32, 36, 85248, 900000, (null)
r1i0n33, 36, 85248, 900000, (null)
r1i0n34, 36, 85248, 900000, (null)
r1i0n35, 36, 85248, 900000, (null)
r1i1n0, 36, 85248, 900000, (null)
r1i1n1, 36, 85248, 900000, (null)
r1i1n2, 36, 85248, 900000, (null)
r1i1n3, 36, 85248, 900000, (null)
r1i1n4, 36, 85248, 900000, (null)
r1i1n5, 36, 85248, 900000, (null)
r1i1n6, 36, 85248, 900000, (null)
r1i1n8, 36, 85248, 900000, (null)
r1i1n9, 36, 85248, 900000, (null)
r1i1n10, 36, 85248, 900000, (null)
r1i1n11, 36, 85248, 900000, (null)
r1i1n12, 36, 85248, 900000, (null)
r1i1n13, 36, 85248, 900000, (null)
r1i1n14, 36, 85248, 900000, (null)
r1i1n15, 36, 85248, 900000, (null)
r1i1n17, 36, 85248, 900000, (null)
r1i1n18, 36, 85248, 900000, (null)
r1i1n19, 36, 85248, 900000, (null)
r1i1n20, 36, 85248, 900000, (null)
r1i1n21, 36, 85248, 900000, (null)
r1i1n22, 36, 85248, 900000, (null)
r1i1n23, 36, 85248, 900000, (null)
r1i1n24, 36, 85248, 900000, (null)
r1i1n26, 36, 85248, 900000, (null)
r1i1n27, 36, 85248, 900000, (null)
r1i1n28, 36, 85248, 900000, (null)
r1i1n29, 36, 85248, 900000, (null)
r1i1n30, 36, 85248, 900000, (null)
r1i1n31, 36, 85248, 900000, (null)
r1i1n32, 36, 85248, 900000, (null)
r1i1n33, 36, 85248, 900000, (null)
r1i1n35, 36, 85248, 900000, (null)
r1i2n0, 36, 85248, 900000, (null)
r1i2n1, 36, 85248, 900000, (null)
r1i2n2, 36, 85248, 900000, (null)
r1i2n3, 36, 85248, 900000, (null)
r1i2n4, 36, 85248, 900000, (null)
r1i2n5, 36, 85248, 900000, (null)
r1i2n6, 36, 85248, 900000, (null)
r1i2n7, 36, 85248, 900000, (null)
r1i2n8, 36, 85248, 900000, (null)
r1i2n9, 36, 85248, 900000, (null)
r1i2n10, 36, 85248, 900000, (null)
