dataset,n_test,mape,r2,tau,tau_p
529_pollen,3502,0.133668011559573,0.5799864498687815,0.8335343463931773,0.0
banana,3484,0.13902677916566347,0.241273793763515,0.8281826957124395,0.0
537_houses,3473,0.2600660963524385,0.41969988190820273,0.8348012608514379,0.0
wine_quality_white,3313,0.13070288328713547,0.9551142683756253,0.8561429553386276,0.0
294_satellite_image,3229,0.21003681054371687,0.813194002883738,0.8204601651551107,0.0
201_pol,3172,0.10050263499938789,0.8597866014529778,0.8660965307496362,0.0
connect_4,3074,0.17076558355208735,0.8505102674084116,0.8776513215662711,0.0
nursery,2877,0.3023655944340455,0.3627381191588135,0.8497502361181642,0.0
sleep,2858,0.3951182674294459,0.5291220538966808,0.8849379034378092,0.0
splice,2835,0.61529970702592,-0.42349600543900134,0.776992579372803,0.0
adult,2762,0.723923231754696,-0.1567882146670898,0.8621059830937284,0.0
mnist,2476,0.2733748344852452,0.7638352973732889,0.8284147397533517,0.0
