experiment,split,n_features,model,n_train,n_test,mape,r2_raw,r2_log,tau
within:butter_e,group,18,rf,29628,7427,0.11491093154489165,0.9527676008069906,0.976786145622523,0.9272181257239123
within:butter_e,row,18,rf,29644,7411,0.0908818499014936,0.9727205007829922,0.984831198606439,0.9359339112422564
within:ec_nas,group,8,rf,2025,507,0.05837261516206677,0.9606583043681112,0.9534111110707922,0.8487403745504715
within:ec_nas,row,8,rf,2025,507,0.058237286913249205,0.9605794498553023,0.9536422120478074,0.8485685758234839
within_core:butter_e,group,4,rf,29628,7427,1.326640188040992,0.08619650680067803,0.1880040457915474,0.2723855592834207
within_core:ec_nas,group,4,rf,2025,507,0.06121719943408385,0.9601571851198292,0.9501444270684823,0.8442698505012297
pooled,group,23,rf,31748,7839,0.09402185241650061,0.9547190578287339,0.983890634646732,0.9337890996774376
pooled,row,23,rf,31669,7918,0.08935853860431317,0.9699151555230567,0.9871771783058756,0.9381036730929968
baseline_params_only:butter_e,group,1,linear,29628,7427,1.4312586634822373,0.06467870882020754,0.12202194914631248,0.2825382028969971
baseline_params_only:ec_nas,group,1,linear,2025,507,0.19152377791004865,0.5784803657552037,0.5617209443135304,0.620386993049305
transfer:cnn_to_mlp,full-holdout,4,rf,2532,37055,0.8465515019583769,-0.38581263333862226,-3.7664648338801836,0.25037613162800293
transfer:mlp_to_cnn,full-holdout,4,rf,37055,2532,7.593900077016818,-499.4304926404724,-37.6268312052213,0.6551122148964722
pooled_bias_correction,group:uncorrected,23,rf,31748,7839,0.09402185241650057,0.9547190578287338,0.983890634646732,0.9337890996774376
pooled_bias_correction,group:corrected,23,rf,31748,7839,0.09394190774930812,0.9550796470325342,0.983493743990127,0.9334581594877286
lodo:butter_e,leave-one-dataset-out,18,rf,33553,3502,0.2765552788971445,0.49690708870081013,0.7814685820910107,0.8414946829435701
model_comparison,group:core:raw,4,linear,31748,7839,2.6533030633347727,0.19539897384532068,-3.3934182986287276,0.27268806770674253
model_comparison,group:core:log,4,linear,31748,7839,1.2825629967473113,0.09023505007438415,0.23190044121243825,0.2818694813614054
model_comparison,group:core:raw,4,rf,31748,7839,2.20544948147592,0.22079425307322753,0.10781320042127462,0.3349802615019132
model_comparison,group:core:log,4,rf,31748,7839,1.1897908948459925,0.12608864933027164,0.2875521880280698,0.3364836862131239
model_comparison,group:core:raw,4,xgb,31748,7839,2.2081343054108116,0.2206501550252219,0.10738269983783455,0.3343367469079131
model_comparison,group:core:log,4,xgb,31748,7839,1.1930014959793052,0.12566927141932438,0.28685978874173346,0.3359984057745513
model_comparison,group:core:raw,4,mlp,31748,7839,2.235980129609642,0.2273648416894214,0.0067651312039385125,0.3311803505550892
model_comparison,group:core:log,4,mlp,31748,7839,1.1822142210420767,0.11008041266457713,0.2857373565585498,0.3353515186296701
baseline_mlp_surrogate:butter_e,group,18,mlp,29628,7427,0.11736574508962466,0.9658472730045891,0.9754864138544471,0.9205456006296927
baseline_mlp_surrogate:ec_nas,group,8,mlp,2025,507,0.06782104552367334,0.947988613329449,0.9411796147993339,0.8358867061585747
hardware_holdout:RTX 3060,full-holdout,4,rf,91,88,0.8714097837087018,-3.604918323997375,-1.3257515518524916,0.8844118835338971
hardware_holdout:RTX 3090,full-holdout,4,rf,91,91,0.5394910185485202,0.20711497757884445,0.19521742105571904,0.6772690269632969
hardware_holdout:Titan Xp,full-holdout,4,rf,91,91,0.05793816416980841,0.9567633381710665,0.9525763840144592,0.8775949673514232
output_structure,group:B_direct_energy,23,rf,31748,7839,0.09402185241650063,0.9547190578287338,0.983890634646732,0.9337890996774376
output_structure_submodel:power,group,23,rf,31748,7839,0.03146885483405073,0.9310005204971913,0.921831391846985,0.7531500206793137
output_structure_submodel:duration,group,23,rf,31748,7839,0.08897930175237341,0.9421538469807968,0.9836520385818254,0.9355480206798507
output_structure,group:A_power_x_duration,23,rf,31748,7839,0.09315670301211246,0.9539062707841192,0.984579440436926,0.9351253775969013
